date,equity,close,in_position,drawdown_pct
2020-01-01,100000.0,7195.153895430029,False,0.0
2020-01-02,100000.0,7193.7546679601,False,0.0
2020-01-03,100000.0,6963.853353983485,False,0.0
2020-01-04,100000.0,7300.34693530511,False,0.0
2020-01-05,100000.0,7351.377053166627,False,0.0
2020-01-06,100000.0,7349.972248050628,False,0.0
2020-01-07,100000.0,7734.675515785289,False,0.0
2020-01-08,100000.0,8147.415237636371,False,0.0
2020-01-09,100000.0,8045.789124592971,False,0.0
2020-01-10,100000.0,7832.795643840387,False,0.0
2020-01-11,100000.0,8180.513169803805,False,0.0
2020-01-12,100000.0,8012.085781814529,False,0.0
2020-01-13,100000.0,8171.401185320944,False,0.0
2020-01-14,100000.0,8110.647964503772,False,0.0
2020-01-15,100000.0,8801.871213137745,False,0.0
2020-01-16,100000.0,8820.85010599613,False,0.0
2020-01-17,100000.0,8720.91950137424,False,0.0
2020-01-18,100000.0,8902.568995225329,False,0.0
2020-01-19,100000.0,8906.902675151074,False,0.0
2020-01-20,100000.0,8690.380569544623,False,0.0
2020-01-21,100000.0,8631.253954333763,False,0.0
2020-01-22,100000.0,8724.818622931474,False,0.0
2020-01-23,100000.0,8665.436914096897,False,0.0
2020-01-24,100000.0,8415.956027335538,False,0.0
2020-01-25,100000.0,8432.096675789418,False,0.0
2020-01-26,100000.0,8348.665665079325,False,0.0
2020-01-27,100000.0,8595.728298493115,False,0.0
2020-01-28,100000.0,8879.335548714553,False,0.0
2020-01-29,100000.0,9320.805853868467,False,0.0
2020-01-30,100000.0,9276.893821086494,False,0.0
2020-01-31,100000.0,9509.80513557522,False,0.0
2020-02-01,100000.0,9308.060285564778,False,0.0
2020-02-02,100000.0,9363.22420680057,False,0.0
2020-02-03,100000.0,9338.416631939404,False,0.0
2020-02-04,100000.0,9308.91270229121,False,0.0
2020-02-05,100000.0,9179.95928107711,False,0.0
2020-02-06,100000.0,9592.18387389791,False,0.0
2020-02-07,100000.0,9744.636578159389,False,0.0
2020-02-08,100000.0,9799.448455824684,False,0.0
2020-02-09,100000.0,9890.701658194865,False,0.0
2020-02-10,100000.0,10148.379719131784,False,0.0
2020-02-11,100000.0,9890.121224019967,False,0.0
2020-02-12,100000.0,10226.925769215322,False,0.0
2020-02-13,100000.0,10328.897565836414,False,0.0
2020-02-14,100000.0,10221.260309201634,False,0.0
2020-02-15,100000.0,10320.157140513991,False,0.0
2020-02-16,100000.0,9894.136123789158,False,0.0
2020-02-17,100000.0,9943.673602578743,False,0.0
2020-02-18,100000.0,9723.605026422496,False,0.0
2020-02-19,100000.0,10133.817417084678,False,0.0
2020-02-20,100000.0,9618.409248250406,False,0.0
2020-02-21,100000.0,9608.16918128246,False,0.0
2020-02-22,100000.0,9673.011800270346,False,0.0
2020-02-23,100000.0,9658.606058375472,False,0.0
2020-02-24,100000.0,9946.716123467522,False,0.0
2020-02-25,100000.0,9670.9608064677,False,0.0
2020-02-26,100000.0,9345.342701734848,False,0.0
2020-02-27,100000.0,8801.657129472504,False,0.0
2020-02-28,100000.0,8781.175282202359,False,0.0
2020-02-29,100000.0,8717.331431359424,False,0.0
2020-03-01,100000.0,8552.989118581636,False,0.0
2020-03-02,100000.0,8567.802248679225,False,0.0
2020-03-03,100000.0,8905.876104262194,False,0.0
2020-03-04,100000.0,8756.718576742549,False,0.0
2020-03-05,100000.0,8758.646993191916,False,0.0
2020-03-06,100000.0,9038.870323233425,False,0.0
2020-03-07,100000.0,9135.84506603321,False,0.0
2020-03-08,100000.0,8902.20195010789,False,0.0
2020-03-09,100000.0,8041.365538071835,False,0.0
2020-03-10,100000.0,7921.33200691072,False,0.0
2020-03-11,100000.0,7906.731528510632,False,0.0
2020-03-12,100000.0,7935.522040170545,False,0.0
2020-03-13,100000.0,5142.990459018316,False,0.0
2020-03-14,100000.0,5542.819542373153,False,0.0
2020-03-15,100000.0,5214.189112383918,False,0.0
2020-03-16,100000.0,5397.93335743919,False,0.0
2020-03-17,100000.0,5032.501351487721,False,0.0
2020-03-18,100000.0,5389.41577503409,False,0.0
2020-03-19,100000.0,5376.280747845438,False,0.0
2020-03-20,100000.0,6170.200600237675,False,0.0
2020-03-21,100000.0,6195.603505257629,False,0.0
2020-03-22,100000.0,6145.770891252399,False,0.0
2020-03-23,100000.0,5859.647430299388,False,0.0
2020-03-24,100000.0,6456.347485963419,False,0.0
2020-03-25,100000.0,6730.173782371188,False,0.0
2020-03-26,100000.0,6695.900618397724,False,0.0
2020-03-27,100000.0,6765.56207892991,False,0.0
2020-03-28,100000.0,6397.826328325604,False,0.0
2020-03-29,100000.0,6255.000398693634,False,0.0
2020-03-30,100000.0,5915.337154791903,False,0.0
2020-03-31,100000.0,6403.141235565223,False,0.0
2020-04-01,100000.0,6421.70541388854,False,0.0
2020-04-02,100000.0,6640.797666310131,False,0.0
2020-04-03,100000.0,6807.897017890566,False,0.0
2020-04-04,100000.0,6732.852018394612,False,0.0
2020-04-05,100000.0,6859.424923721944,False,0.0
2020-04-06,100000.0,6788.048272605917,False,0.0
2020-04-07,100000.0,7297.635558289496,False,0.0
2020-04-08,100000.0,7196.782202442051,False,0.0
2020-04-09,100000.0,7342.291601148024,False,0.0
2020-04-10,100000.0,7294.488875121554,False,0.0
2020-04-11,100000.0,6864.694257006497,False,0.0
2020-04-12,100000.0,6878.781212589853,False,0.0
2020-04-13,100000.0,6913.158787469097,False,0.0
2020-04-14,100000.0,6857.538537511484,False,0.0
2020-04-15,100000.0,6860.17853570111,False,0.0
2020-04-16,100000.0,6629.431738031291,False,0.0
2020-04-17,100000.0,7059.92622475854,False,0.0
2020-04-18,100000.0,7035.261503989225,False,0.0
2020-04-19,100000.0,7242.5109294929825,False,0.0
